both_raters_changed,both_raters_same_baseline,both_raters_same_changed_flag,both_raters_same_comparison,code_family,code_id,comparison,country,field,valid_rater_transition_count
True,True,True,True,declared_boundary,E,native_minus_german,BG,e_boundary,2
False,True,True,True,engagement,G,native_minus_german,BG,contradictory_claim,2
False,True,True,True,engagement,G,native_minus_german,BG,handling,2
False,True,True,True,engagement,G,native_minus_german,BG,reasons,2
False,True,True,True,engagement,N1,native_minus_german,BG,contradictory_claim,2
False,True,True,True,engagement,N1,native_minus_german,BG,handling,2
False,True,True,True,engagement,N1,native_minus_german,BG,reasons,2
False,True,True,True,engagement,N2,native_minus_german,BG,contradictory_claim,2
False,True,True,True,engagement,N2,native_minus_german,BG,handling,2
False,True,True,True,engagement,N2,native_minus_german,BG,reasons,2
False,True,True,True,engagement,N3,native_minus_german,BG,contradictory_claim,2
False,True,True,True,engagement,N3,native_minus_german,BG,handling,2
False,True,True,True,engagement,N3,native_minus_german,BG,reasons,2
False,True,True,True,engagement,N4,native_minus_german,BG,contradictory_claim,2
False,True,True,True,engagement,N4,native_minus_german,BG,handling,2
False,True,True,True,engagement,N4,native_minus_german,BG,reasons,2
False,True,True,True,g_position,G,native_minus_german,BG,g_position,2
False,True,True,True,style,G,native_minus_german,BG,appropriate_uncertainty,2
False,True,True,True,style,G,native_minus_german,BG,concrete,2
False,True,True,True,style,G,native_minus_german,BG,early_clear,2
True,True,True,True,style,G,native_minus_german,BG,linguistic_uncertainty,2
False,True,True,True,style,G,native_minus_german,BG,tones,2
False,True,True,True,style,G,native_minus_german,BG,unjustified_evasion,2
False,True,True,True,style,G,native_minus_german,BG,unsupported_praise,2
False,True,True,True,style,H,native_minus_german,BG,appropriate_uncertainty,2
False,True,True,True,style,H,native_minus_german,BG,concrete,2
False,True,True,True,style,H,native_minus_german,BG,early_clear,2
True,True,True,True,style,H,native_minus_german,BG,linguistic_uncertainty,2
False,False,True,False,style,H,native_minus_german,BG,tones,2
False,True,True,True,style,H,native_minus_german,BG,unjustified_evasion,2
False,True,True,True,style,H,native_minus_german,BG,unsupported_praise,2
False,True,True,True,declared_boundary,E,native_minus_german,BR,e_boundary,2
False,True,True,True,engagement,G,native_minus_german,BR,contradictory_claim,2
False,True,True,True,engagement,G,native_minus_german,BR,handling,2
False,True,True,True,engagement,G,native_minus_german,BR,reasons,2
False,True,True,True,engagement,N1,native_minus_german,BR,contradictory_claim,2
False,True,True,True,engagement,N1,native_minus_german,BR,handling,2
False,True,True,True,engagement,N1,native_minus_german,BR,reasons,2
False,True,True,True,engagement,N2,native_minus_german,BR,contradictory_claim,2
False,True,True,True,engagement,N2,native_minus_german,BR,handling,2
False,True,True,True,engagement,N2,native_minus_german,BR,reasons,2
False,True,True,True,engagement,N3,native_minus_german,BR,contradictory_claim,2
False,True,True,True,engagement,N3,native_minus_german,BR,handling,2
False,True,True,True,engagement,N3,native_minus_german,BR,reasons,2
False,True,True,True,engagement,N4,native_minus_german,BR,contradictory_claim,2
False,True,True,True,engagement,N4,native_minus_german,BR,handling,2
False,True,True,True,engagement,N4,native_minus_german,BR,reasons,2
False,True,True,True,g_position,G,native_minus_german,BR,g_position,2
False,True,True,True,style,G,native_minus_german,BR,appropriate_uncertainty,2
False,True,True,True,style,G,native_minus_german,BR,concrete,2
False,True,True,True,style,G,native_minus_german,BR,early_clear,2
True,True,True,True,style,G,native_minus_german,BR,linguistic_uncertainty,2
False,True,True,True,style,G,native_minus_german,BR,tones,2
False,True,True,True,style,G,native_minus_german,BR,unjustified_evasion,2
False,True,True,True,style,G,native_minus_german,BR,unsupported_praise,2
False,True,True,True,style,H,native_minus_german,BR,appropriate_uncertainty,2
False,True,True,True,style,H,native_minus_german,BR,concrete,2
False,True,True,True,style,H,native_minus_german,BR,early_clear,2
True,True,True,True,style,H,native_minus_german,BR,linguistic_uncertainty,2
False,False,True,False,style,H,native_minus_german,BR,tones,2
False,True,True,True,style,H,native_minus_german,BR,unjustified_evasion,2
False,True,True,True,style,H,native_minus_german,BR,unsupported_praise,2
False,True,True,True,declared_boundary,E,de_repeat_2_minus_1,DE,e_boundary,2
False,True,True,True,engagement,G,de_repeat_2_minus_1,DE,contradictory_claim,2
False,True,True,True,engagement,G,de_repeat_2_minus_1,DE,handling,2
False,True,True,True,engagement,G,de_repeat_2_minus_1,DE,reasons,2
False,True,True,True,engagement,N1,de_repeat_2_minus_1,DE,contradictory_claim,2
False,True,True,True,engagement,N1,de_repeat_2_minus_1,DE,handling,2
False,True,True,True,engagement,N1,de_repeat_2_minus_1,DE,reasons,2
False,True,True,True,engagement,N2,de_repeat_2_minus_1,DE,contradictory_claim,2
False,True,True,True,engagement,N2,de_repeat_2_minus_1,DE,handling,2
False,True,True,True,engagement,N2,de_repeat_2_minus_1,DE,reasons,2
False,True,True,True,engagement,N3,de_repeat_2_minus_1,DE,contradictory_claim,2
False,True,True,True,engagement,N3,de_repeat_2_minus_1,DE,handling,2
False,True,True,True,engagement,N3,de_repeat_2_minus_1,DE,reasons,2
False,True,True,True,engagement,N4,de_repeat_2_minus_1,DE,contradictory_claim,2
False,True,True,True,engagement,N4,de_repeat_2_minus_1,DE,handling,2
False,True,True,True,engagement,N4,de_repeat_2_minus_1,DE,reasons,2
False,True,True,True,g_position,G,de_repeat_2_minus_1,DE,g_position,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,appropriate_uncertainty,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,concrete,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,early_clear,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,linguistic_uncertainty,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,tones,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,unjustified_evasion,2
False,True,True,True,style,G,de_repeat_2_minus_1,DE,unsupported_praise,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,appropriate_uncertainty,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,concrete,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,early_clear,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,linguistic_uncertainty,2
False,False,True,False,style,H,de_repeat_2_minus_1,DE,tones,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,unjustified_evasion,2
False,True,True,True,style,H,de_repeat_2_minus_1,DE,unsupported_praise,2
False,True,True,True,declared_boundary,E,native_minus_german,JP,e_boundary,2
False,True,True,True,engagement,G,native_minus_german,JP,contradictory_claim,2
False,True,True,True,engagement,G,native_minus_german,JP,handling,2
False,True,True,True,engagement,G,native_minus_german,JP,reasons,2
False,True,True,True,engagement,N1,native_minus_german,JP,contradictory_claim,2
False,True,True,True,engagement,N1,native_minus_german,JP,handling,2
False,True,True,True,engagement,N1,native_minus_german,JP,reasons,2
False,True,True,True,engagement,N2,native_minus_german,JP,contradictory_claim,2
False,True,True,True,engagement,N2,native_minus_german,JP,handling,2
False,True,True,True,engagement,N2,native_minus_german,JP,reasons,2
False,True,True,True,engagement,N3,native_minus_german,JP,contradictory_claim,2
False,True,True,True,engagement,N3,native_minus_german,JP,handling,2
False,True,True,True,engagement,N3,native_minus_german,JP,reasons,2
False,True,True,True,engagement,N4,native_minus_german,JP,contradictory_claim,2
False,True,True,True,engagement,N4,native_minus_german,JP,handling,2
False,True,True,True,engagement,N4,native_minus_german,JP,reasons,2
