candidate_double_rated_pair_count,exact_agreement_rate,excluded_unrateable_or_missing_pair_count,mean_absolute_gap,valid_double_rated_pair_count,variable
10,1.0,0,,10,e_boundary
10,1.0,0,,10,engagement:G:handling
10,1.0,0,,10,engagement:N1:handling
10,1.0,0,,10,engagement:N2:handling
10,1.0,0,,10,engagement:N3:handling
10,1.0,0,,10,engagement:N4:handling
10,1.0,0,,10,g_position
10,1.0,0,,10,memory_basis:Q1
10,1.0,0,,10,memory_basis:Q2
10,1.0,0,,10,memory_basis:Q3
10,1.0,0,,10,memory_basis:Q4
10,1.0,0,,10,memory_basis:Q5
10,1.0,0,,10,memory_basis:Q6
10,1.0,0,,10,memory_basis:Q7
10,1.0,0,,10,memory_basis:Q8
10,1.0,0,0.0,10,memory_completeness:Q1
10,1.0,0,0.0,10,memory_completeness:Q2
10,1.0,0,0.0,10,memory_completeness:Q3
10,1.0,0,0.0,10,memory_completeness:Q4
10,1.0,0,0.0,10,memory_completeness:Q5
10,1.0,0,0.0,10,memory_completeness:Q6
10,1.0,0,0.0,10,memory_completeness:Q7
10,1.0,0,0.0,10,memory_completeness:Q8
10,1.0,0,,10,memory_confidence:Q1
10,1.0,0,,10,memory_confidence:Q2
10,1.0,0,,10,memory_confidence:Q3
10,1.0,0,,10,memory_confidence:Q4
10,1.0,0,,10,memory_confidence:Q5
10,1.0,0,,10,memory_confidence:Q6
10,1.0,0,,10,memory_confidence:Q7
10,1.0,0,,10,memory_confidence:Q8
10,1.0,0,0.0,10,memory_core:Q1
10,1.0,0,0.0,10,memory_core:Q2
10,1.0,0,0.0,10,memory_core:Q3
10,1.0,0,0.0,10,memory_core:Q4
10,1.0,0,0.0,10,memory_core:Q5
10,1.0,0,0.0,10,memory_core:Q6
10,1.0,0,0.0,10,memory_core:Q7
10,1.0,0,0.0,10,memory_core:Q8
10,1.0,0,,10,memory_status:Q1
10,1.0,0,,10,memory_status:Q2
10,1.0,0,,10,memory_status:Q3
10,1.0,0,,10,memory_status:Q4
10,1.0,0,,10,memory_status:Q5
10,1.0,0,,10,memory_status:Q6
10,1.0,0,,10,memory_status:Q7
10,1.0,0,,10,memory_status:Q8
10,0.9,0,0.1,10,memory_unsupported_additions:Q1
10,1.0,0,0.0,10,memory_unsupported_additions:Q2
10,1.0,0,0.0,10,memory_unsupported_additions:Q3
10,1.0,0,0.0,10,memory_unsupported_additions:Q4
10,1.0,0,0.0,10,memory_unsupported_additions:Q5
10,1.0,0,0.0,10,memory_unsupported_additions:Q6
10,1.0,0,0.0,10,memory_unsupported_additions:Q7
10,1.0,0,0.0,10,memory_unsupported_additions:Q8
10,1.0,0,0.0,10,reflection:G:calibrated_uncertainty
10,1.0,0,0.0,10,reflection:G:concrete_claim
10,1.0,0,0.0,10,reflection:G:evidence_basis
10,0.0,0,1.0,10,reflection:G:testable_next_step
10,1.0,0,0.0,10,reflection:H1:calibrated_uncertainty
10,1.0,0,0.0,10,reflection:H1:concrete_claim
10,1.0,0,0.0,10,reflection:H1:evidence_basis
10,1.0,0,0.0,10,reflection:H1:testable_next_step
10,1.0,0,0.0,10,reflection:H2:calibrated_uncertainty
10,1.0,0,0.0,10,reflection:H2:concrete_claim
10,1.0,0,0.0,10,reflection:H2:evidence_basis
10,1.0,0,0.0,10,reflection:H2:testable_next_step
10,1.0,0,,10,style:G:appropriate_uncertainty
10,1.0,0,,10,style:G:concrete
10,1.0,0,,10,style:G:early_clear
10,1.0,0,,10,style:G:linguistic_uncertainty
10,1.0,0,,10,style:G:tones
10,1.0,0,,10,style:G:unjustified_evasion
10,1.0,0,,10,style:G:unsupported_praise
10,1.0,0,,10,style:H:appropriate_uncertainty
10,1.0,0,,10,style:H:concrete
10,1.0,0,,10,style:H:early_clear
10,1.0,0,,10,style:H:linguistic_uncertainty
10,0.0,0,,10,style:H:tones
10,1.0,0,,10,style:H:unjustified_evasion
10,1.0,0,,10,style:H:unsupported_praise
