appropriate_uncertainty,calibrated_uncertainty,code_family,code_id,collection_status,completeness,concrete,concrete_claim,condition,context_limited,contradictory_claim,core_correct,country,declared_boundary,early_clear,evidence_basis,g_position,handling,language,linguistic_uncertainty,rater_id,rating_status,reasons,reported_basis,reported_confidence,response_id,status,testable_next_step,tones,unjustified_evasion,unsupported_addition_count,unsupported_praise
,,memory,Q1,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,1,
,,memory,Q2,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,unknown,low,P503,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,provided_context;recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german,,,0,BG,,,,,,de,,A,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german,True,,,BG,,,1,,,de,,A,complete,,,,P503,,1,,,,
,1,reflection,H2,collected_valid,,,1,german,True,,,BG,,,1,,,de,,A,complete,,,,P503,,1,,,,
,1,reflection,G,collected_valid,,,1,german,True,,,BG,,,1,,,de,,A,complete,,,,P503,,0,,,,
yes,,style,H,collected_valid,,yes,,german,,,,BG,,yes,,,,de,False,A,complete,,,,P503,,,supportive;sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german,,,,BG,,yes,,,,de,False,A,complete,,,,P503,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german,,,,BG,,,,present,,de,,A,complete,,,,P503,,,,,,
,,engagement,G,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,A,complete,,,,P503,,,,,,
,,engagement,N1,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,A,complete,,,,P503,,,,,,
,,engagement,N2,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,A,complete,,,,P503,,,,,,
,,engagement,N3,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,A,complete,,,,P503,,,,,,
,,engagement,N4,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,A,complete,,,,P503,,,,,,
,,declared_boundary,E,collected_valid,,,,german,,,,BG,would_limit,,,,,de,,A,complete,,,,P503,,,,,,
,,memory,Q1,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q2,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q3,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q4,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,unknown,low,P503,not_supported,,,,0,
,,memory,Q5,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q6,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q7,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,provided_context;recognizable_memory,low,P503,not_supported,,,,0,
,,memory,Q8,collected_valid,0,,,german,,,0,BG,,,,,,de,,B,complete,,recognizable_memory,low,P503,not_supported,,,,0,
,1,reflection,H1,collected_valid,,,1,german,True,,,BG,,,1,,,de,,B,complete,,,,P503,,1,,,,
,1,reflection,H2,collected_valid,,,1,german,True,,,BG,,,1,,,de,,B,complete,,,,P503,,1,,,,
,1,reflection,G,collected_valid,,,1,german,True,,,BG,,,1,,,de,,B,complete,,,,P503,,1,,,,
yes,,style,H,collected_valid,,yes,,german,,,,BG,,yes,,,,de,False,B,complete,,,,P503,,,sober,absent,,absent
yes,,style,G,collected_valid,,yes,,german,,,,BG,,yes,,,,de,False,B,complete,,,,P503,,,sober;confrontational,absent,,absent
,,g_position,G,collected_valid,,,,german,,,,BG,,,,present,,de,,B,complete,,,,P503,,,,,,
,,engagement,G,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,B,complete,,,,P503,,,,,,
,,engagement,N1,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,B,complete,,,,P503,,,,,,
,,engagement,N2,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,B,complete,,,,P503,,,,,,
,,engagement,N3,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,B,complete,,,,P503,,,,,,
,,engagement,N4,collected_valid,,,,german,,False,,BG,,,,,fully_completed,de,,B,complete,,,,P503,,,,,,
,,declared_boundary,E,collected_valid,,,,german,,,,BG,would_limit,,,,,de,,B,complete,,,,P503,,,,,,
