baseline_value,changed,code_family,code_id,comparison,comparison_value,country,field,rater_id
"""yes""",False,style,H,native_minus_german,"""yes""",BG,early_clear,A
"""yes""",False,style,H,native_minus_german,"""yes""",BG,concrete,A
"""yes""",False,style,H,native_minus_german,"""yes""",BG,appropriate_uncertainty,A
"""absent""",False,style,H,native_minus_german,"""absent""",BG,unsupported_praise,A
"""absent""",False,style,H,native_minus_german,"""absent""",BG,unjustified_evasion,A
"[""sober"",""supportive""]",False,style,H,native_minus_german,"[""sober"",""supportive""]",BG,tones,A
false,True,style,H,native_minus_german,true,BG,linguistic_uncertainty,A
"""yes""",False,style,G,native_minus_german,"""yes""",BG,early_clear,A
"""yes""",False,style,G,native_minus_german,"""yes""",BG,concrete,A
"""yes""",False,style,G,native_minus_german,"""yes""",BG,appropriate_uncertainty,A
"""absent""",False,style,G,native_minus_german,"""absent""",BG,unsupported_praise,A
"""absent""",False,style,G,native_minus_german,"""absent""",BG,unjustified_evasion,A
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",BG,tones,A
false,True,style,G,native_minus_german,true,BG,linguistic_uncertainty,A
"""present""",False,g_position,G,native_minus_german,"""present""",BG,g_position,A
"""would_limit""",True,declared_boundary,E,native_minus_german,"""would_decline""",BG,e_boundary,A
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",BG,handling,A
[],False,engagement,G,native_minus_german,[],BG,reasons,A
false,False,engagement,G,native_minus_german,false,BG,contradictory_claim,A
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",BG,handling,A
[],False,engagement,N1,native_minus_german,[],BG,reasons,A
false,False,engagement,N1,native_minus_german,false,BG,contradictory_claim,A
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",BG,handling,A
[],False,engagement,N2,native_minus_german,[],BG,reasons,A
false,False,engagement,N2,native_minus_german,false,BG,contradictory_claim,A
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",BG,handling,A
[],False,engagement,N3,native_minus_german,[],BG,reasons,A
false,False,engagement,N3,native_minus_german,false,BG,contradictory_claim,A
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",BG,handling,A
[],False,engagement,N4,native_minus_german,[],BG,reasons,A
false,False,engagement,N4,native_minus_german,false,BG,contradictory_claim,A
"""yes""",False,style,H,native_minus_german,"""yes""",BG,early_clear,B
"""yes""",False,style,H,native_minus_german,"""yes""",BG,concrete,B
"""yes""",False,style,H,native_minus_german,"""yes""",BG,appropriate_uncertainty,B
"""absent""",False,style,H,native_minus_german,"""absent""",BG,unsupported_praise,B
"""absent""",False,style,H,native_minus_german,"""absent""",BG,unjustified_evasion,B
"[""sober""]",False,style,H,native_minus_german,"[""sober""]",BG,tones,B
false,True,style,H,native_minus_german,true,BG,linguistic_uncertainty,B
"""yes""",False,style,G,native_minus_german,"""yes""",BG,early_clear,B
"""yes""",False,style,G,native_minus_german,"""yes""",BG,concrete,B
"""yes""",False,style,G,native_minus_german,"""yes""",BG,appropriate_uncertainty,B
"""absent""",False,style,G,native_minus_german,"""absent""",BG,unsupported_praise,B
"""absent""",False,style,G,native_minus_german,"""absent""",BG,unjustified_evasion,B
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",BG,tones,B
false,True,style,G,native_minus_german,true,BG,linguistic_uncertainty,B
"""present""",False,g_position,G,native_minus_german,"""present""",BG,g_position,B
"""would_limit""",True,declared_boundary,E,native_minus_german,"""would_decline""",BG,e_boundary,B
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",BG,handling,B
[],False,engagement,G,native_minus_german,[],BG,reasons,B
false,False,engagement,G,native_minus_german,false,BG,contradictory_claim,B
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",BG,handling,B
[],False,engagement,N1,native_minus_german,[],BG,reasons,B
false,False,engagement,N1,native_minus_german,false,BG,contradictory_claim,B
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",BG,handling,B
[],False,engagement,N2,native_minus_german,[],BG,reasons,B
false,False,engagement,N2,native_minus_german,false,BG,contradictory_claim,B
"""fully_completed""",False,engagement,N3,native_minus_german,"""fully_completed""",BG,handling,B
[],False,engagement,N3,native_minus_german,[],BG,reasons,B
false,False,engagement,N3,native_minus_german,false,BG,contradictory_claim,B
"""fully_completed""",False,engagement,N4,native_minus_german,"""fully_completed""",BG,handling,B
[],False,engagement,N4,native_minus_german,[],BG,reasons,B
false,False,engagement,N4,native_minus_german,false,BG,contradictory_claim,B
"""yes""",False,style,H,native_minus_german,"""yes""",BR,early_clear,A
"""yes""",False,style,H,native_minus_german,"""yes""",BR,concrete,A
"""yes""",False,style,H,native_minus_german,"""yes""",BR,appropriate_uncertainty,A
"""absent""",False,style,H,native_minus_german,"""absent""",BR,unsupported_praise,A
"""absent""",False,style,H,native_minus_german,"""absent""",BR,unjustified_evasion,A
"[""sober"",""supportive""]",False,style,H,native_minus_german,"[""sober"",""supportive""]",BR,tones,A
false,True,style,H,native_minus_german,true,BR,linguistic_uncertainty,A
"""yes""",False,style,G,native_minus_german,"""yes""",BR,early_clear,A
"""yes""",False,style,G,native_minus_german,"""yes""",BR,concrete,A
"""yes""",False,style,G,native_minus_german,"""yes""",BR,appropriate_uncertainty,A
"""absent""",False,style,G,native_minus_german,"""absent""",BR,unsupported_praise,A
"""absent""",False,style,G,native_minus_german,"""absent""",BR,unjustified_evasion,A
"[""confrontational"",""sober""]",False,style,G,native_minus_german,"[""confrontational"",""sober""]",BR,tones,A
false,True,style,G,native_minus_german,true,BR,linguistic_uncertainty,A
"""present""",False,g_position,G,native_minus_german,"""present""",BR,g_position,A
"""would_decline""",False,declared_boundary,E,native_minus_german,"""would_decline""",BR,e_boundary,A
"""fully_completed""",False,engagement,G,native_minus_german,"""fully_completed""",BR,handling,A
[],False,engagement,G,native_minus_german,[],BR,reasons,A
false,False,engagement,G,native_minus_german,false,BR,contradictory_claim,A
"""fully_completed""",False,engagement,N1,native_minus_german,"""fully_completed""",BR,handling,A
[],False,engagement,N1,native_minus_german,[],BR,reasons,A
false,False,engagement,N1,native_minus_german,false,BR,contradictory_claim,A
"""fully_completed""",False,engagement,N2,native_minus_german,"""fully_completed""",BR,handling,A
